* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 12:56:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA ANODE-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 13.33 V 13.33 VC, 13.33 VA 13.33 V 22 - 22k UNW 889.0 uV >22k Distortion at 1,000.0 Hz, -17.51 dBFS: Gain: 29.34 dB THD: 0.012 % based on 21 harmonics  [0..22800 Hz] HHD: 0.0027 %  [10 .. 22] N: 0.093 %  [0..22800 Hz] N+D: 4.492 mV A THD+N: 0.094 %  [0..22800 Hz] SNR: 60.6 dB ENOB: 13.2 bits 2nd harmonic 0.011 % -148 deg 3rd harmonic 0.00094 % 112 deg 4th harmonic 0.00075 % 156 deg 5th harmonic 0.00076 % -7 deg 6th harmonic 0.00075 % -151 deg 7th harmonic 0.00083 % -172 deg 8th harmonic 0.00083 % 168 deg 9th harmonic 0.00075 % -87 deg
* Measurement: OSDEHA A-OUT 13.3V
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
2841.796875; 1.11782E-4
2847.656250; 1.06581E-4
2853.515625; 1.09754E-4
2859.375000; 1.13609E-4
2865.234375; 1.03223E-4
2871.093750; 1.02778E-4
2876.953125; 1.08656E-4
2882.812500; 1.08032E-4
2888.671875; 1.18405E-4
2894.531250; 1.05796E-4
2900.390625; 1.00897E-4
2906.250000; 1.07063E-4
2912.109375; 1.18323E-4
2917.968750; 1.22123E-4
2923.828125; 1.13344E-4
2929.687500; 1.00677E-4
2935.546875; 9.24793E-5
2941.406250; 9.96421E-5
2947.265625; 9.84995E-5
2953.125000; 9.87244E-5
2958.984375; 9.56526E-5
2964.843750; 9.35732E-5
2970.703125; 1.02696E-4
2976.562500; 1.07176E-4
2982.421875; 1.04617E-4
2988.281250; 1.03277E-4
2994.140625; 1.18484E-4
3000.000000; 1.46638E-4
3005.859375; 1.24899E-4
3011.718750; 1.12764E-4
3017.578125; 1.01919E-4
3023.437500; 1.08106E-4
3029.296875; 1.02282E-4
3035.156250; 1.02108E-4
3041.015625; 1.01887E-4
3046.875000; 9.94863E-5
3052.734375; 9.82254E-5
3058.593750; 1.08410E-4
3064.453125; 1.03086E-4
3070.312500; 1.08718E-4
3076.171875; 1.09212E-4
3082.031250; 9.98996E-5
3087.890625; 1.05810E-4
3093.750000; 1.12691E-4
3099.609375; 1.01173E-4
3105.468750; 9.99636E-5
3111.328125; 9.96614E-5
3117.187500; 1.09222E-4
3123.046875; 1.02222E-4
3128.906250; 9.96270E-5
3134.765625; 1.05922E-4
3140.625000; 1.09185E-4
3146.484375; 1.06253E-4
3152.343750; 1.10192E-4
3158.203125; 1.06709E-4
3164.062500; 1.02756E-4
3169.921875; 1.09085E-4
3175.781250; 1.08261E-4
3181.640625; 1.01836E-4
3187.500000; 9.23965E-5
3193.359375; 1.04708E-4
3199.218750; 1.12316E-4
3205.078125; 1.02787E-4
3210.937500; 1.04161E-4
3216.796875; 9.97404E-5
3222.656250; 1.10561E-4
3228.515625; 1.11592E-4
3234.375000; 1.00246E-4
3240.234375; 1.10820E-4
3246.093750; 1.06210E-4
3251.953125; 9.61625E-5
3257.812500; 1.11150E-4
3263.671875; 1.17201E-4
3269.531250; 1.12737E-4
3275.390625; 1.18091E-4
3281.250000; 1.11744E-4
3287.109375; 1.03522E-4
3292.968750; 1.10421E-4
3298.828125; 1.25778E-4
3304.687500; 1.30208E-4
3310.546875; 1.17788E-4
3316.406250; 1.10858E-4
3322.265625; 1.07826E-4
3328.125000; 1.01087E-4
3333.984375; 1.07343E-4
3339.843750; 1.06327E-4
3345.703125; 1.04416E-4
3351.562500; 1.03546E-4
3357.421875; 1.01012E-4
3363.281250; 1.03964E-4
3369.140625; 9.83670E-5
3375.000000; 1.10805E-4
3380.859375; 1.12706E-4
3386.718750; 9.67391E-5
3392.578125; 1.05712E-4
3398.437500; 1.11942E-4
3404.296875; 1.10616E-4
3410.156250; 1.05669E-4
3416.015625; 1.02564E-4
3421.875000; 1.11508E-4
3427.734375; 1.10728E-4
3433.593750; 1.20312E-4
3439.453125; 1.17031E-4
3445.312500; 1.08457E-4
3451.171875; 1.01872E-4
3457.031250; 1.07440E-4
3462.890625; 9.54369E-5
3468.750000; 9.51274E-5
3474.609375; 9.73649E-5
3480.468750; 1.12973E-4
3486.328125; 1.12201E-4
3492.187500; 1.04396E-4
3498.046875; 1.07364E-4
3503.906250; 1.10880E-4
3509.765625; 1.07676E-4
3515.625000; 1.05975E-4
3521.484375; 1.09748E-4
3527.343750; 1.04665E-4
3533.203125; 1.05350E-4
3539.062500; 1.03787E-4
3544.921875; 1.00102E-4
3550.781250; 9.97729E-5
3556.640625; 1.02000E-4
3562.500000; 1.08750E-4
3568.359375; 1.15951E-4
3574.218750; 1.18097E-4
3580.078125; 1.05866E-4
3585.937500; 1.04560E-4
3591.796875; 1.05733E-4
3597.656250; 1.05565E-4
3603.515625; 1.06424E-4
3609.375000; 1.10651E-4
3615.234375; 1.13314E-4
3621.093750; 1.08035E-4
3626.953125; 1.06477E-4
3632.812500; 1.06065E-4
3638.671875; 9.45300E-5
3644.531250; 9.90134E-5
3650.390625; 1.03343E-4
3656.250000; 1.02317E-4
3662.109375; 1.00364E-4
3667.968750; 1.08451E-4
3673.828125; 1.04814E-4
3679.687500; 1.07611E-4
3685.546875; 1.11704E-4
3691.406250; 1.09141E-4
3697.265625; 1.09623E-4
3703.125000; 1.09213E-4
3708.984375; 1.01059E-4
3714.843750; 1.05148E-4
3720.703125; 1.06177E-4
3726.562500; 1.04336E-4
3732.421875; 1.10014E-4
3738.281250; 1.20449E-4
3744.140625; 1.16852E-4
3750.000000; 1.08225E-4
3755.859375; 1.04952E-4
3761.718750; 1.07549E-4
3767.578125; 1.00824E-4
3773.437500; 9.71464E-5
3779.296875; 1.01144E-4
3785.156250; 9.59465E-5
3791.015625; 1.02822E-4
3796.875000; 1.02946E-4
3802.734375; 1.04988E-4
3808.593750; 1.07721E-4
3814.453125; 9.53875E-5
3820.312500; 1.02106E-4
3826.171875; 1.05220E-4
3832.031250; 1.16543E-4
3837.890625; 1.14573E-4
3843.750000; 1.01674E-4
3849.609375; 9.61698E-5
3855.468750; 1.05071E-4
3861.328125; 1.03892E-4
3867.187500; 1.07211E-4
3873.046875; 1.06301E-4
3878.906250; 9.99916E-5
3884.765625; 1.03210E-4
3890.625000; 9.78454E-5
3896.484375; 1.05044E-4
3902.343750; 1.07507E-4
3908.203125; 9.16668E-5
3914.062500; 1.06599E-4
3919.921875; 1.09354E-4
3925.781250; 1.14638E-4
3931.640625; 1.15449E-4
3937.500000; 1.03668E-4
3943.359375; 9.40386E-5
3949.218750; 1.07824E-4
3955.078125; 1.06520E-4
3960.937500; 9.90567E-5
3966.796875; 1.02104E-4
3972.656250; 1.05414E-4
3978.515625; 1.04558E-4
3984.375000; 9.90597E-5
3990.234375; 8.48729E-5
3996.093750; 1.05958E-4
4001.953125; 1.12136E-4
4007.812500; 1.00582E-4
4013.671875; 9.92405E-5
4019.531250; 8.77623E-5
4025.390625; 9.45594E-5
4031.250000; 1.04318E-4
4037.109375; 1.06816E-4
4042.968750; 1.00306E-4
4048.828125; 1.00435E-4
4054.687500; 1.07133E-4
4060.546875; 9.58328E-5
4066.406250; 1.08523E-4
4072.265625; 1.12161E-4
4078.125000; 1.06118E-4
4083.984375; 9.90783E-5
4089.843750; 1.07360E-4
4095.703125; 1.04664E-4
4101.562500; 1.05871E-4
4107.421875; 1.07831E-4
4113.281250; 9.91650E-5
4119.140625; 1.07076E-4
4125.000000; 1.13134E-4
4130.859375; 9.91665E-5
4136.718750; 1.00480E-4
4142.578125; 9.60587E-5
4148.437500; 9.63655E-5
4154.296875; 1.06940E-4
4160.156250; 1.11141E-4
4166.015625; 9.46283E-5
4171.875000; 9.14122E-5
4177.734375; 1.05059E-4
4183.593750; 1.06444E-4
4189.453125; 1.04614E-4
4195.312500; 1.04352E-4
4201.171875; 1.09086E-4
4207.031250; 1.10482E-4
4212.890625; 1.10688E-4
4218.750000; 1.09407E-4
4224.609375; 1.02832E-4
4230.468750; 1.06446E-4
4236.328125; 1.05788E-4
4242.187500; 1.02796E-4
4248.046875; 1.00132E-4
4253.906250; 1.02686E-4
4259.765625; 1.09954E-4
4265.625000; 1.15930E-4
4271.484375; 1.11472E-4
4277.343750; 1.07363E-4
4283.203125; 1.05179E-4
4289.062500; 9.82530E-5
4294.921875; 1.00265E-4
4300.781250; 1.05688E-4
4306.640625; 9.85125E-5
4312.500000; 1.10093E-4
4318.359375; 9.97826E-5
4324.218750; 9.31100E-5
4330.078125; 1.02394E-4
