* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 12:49:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA ANODE-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 56.18 V 56.18 VC, 56.18 VA 56.18 V 22 - 22k UNW 885.2 uV >22k Distortion at 1,000.0 Hz, -5.01 dBFS: Gain: 29.34 dB THD: 0.032 % based on 21 harmonics  [0..22800 Hz] HHD: 0.00066 %  [10 .. 22] N: 0.023 %  [0..22800 Hz] N+D: 21.03 mV A THD+N: 0.039 %  [0..22800 Hz] SNR: 72.9 dB ENOB: 12.4 bits 2nd harmonic 0.031 % -135 deg 3rd harmonic 0.0074 % -132 deg 4th harmonic 0.0030 % 156 deg 5th harmonic 0.0021 % -25 deg 6th harmonic 0.00075 % 142 deg 7th harmonic 0.00034 % -2 deg 8th harmonic 0.00023 % 85 deg 9th harmonic 0.00022 % 54 deg 
* Measurement: OSDEHA A-OUT 56.2
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
1611.328125; 1.11658E-4
1617.187500; 1.08967E-4
1623.046875; 1.06540E-4
1628.906250; 1.04618E-4
1634.765625; 1.07482E-4
1640.625000; 1.05355E-4
1646.484375; 9.92295E-5
1652.343750; 9.59916E-5
1658.203125; 1.00612E-4
1664.062500; 1.00230E-4
1669.921875; 1.03101E-4
1675.781250; 1.02970E-4
1681.640625; 9.51304E-5
1687.500000; 9.72818E-5
1693.359375; 1.11151E-4
1699.218750; 1.16560E-4
1705.078125; 1.00126E-4
1710.937500; 1.00957E-4
1716.796875; 1.10799E-4
1722.656250; 1.13800E-4
1728.515625; 1.12564E-4
1734.375000; 1.04248E-4
1740.234375; 1.10665E-4
1746.093750; 1.20023E-4
1751.953125; 1.23715E-4
1757.812500; 1.15635E-4
1763.671875; 1.11527E-4
1769.531250; 1.18591E-4
1775.390625; 1.18105E-4
1781.250000; 1.14104E-4
1787.109375; 1.05700E-4
1792.968750; 1.15176E-4
1798.828125; 1.16405E-4
1804.687500; 1.00211E-4
1810.546875; 1.03320E-4
1816.406250; 1.03744E-4
1822.265625; 1.06616E-4
1828.125000; 1.11834E-4
1833.984375; 1.07231E-4
1839.843750; 1.01593E-4
1845.703125; 1.13550E-4
1851.562500; 1.12480E-4
1857.421875; 1.08992E-4
1863.281250; 1.19431E-4
1869.140625; 1.06970E-4
1875.000000; 9.81926E-5
1880.859375; 1.06855E-4
1886.718750; 1.07172E-4
1892.578125; 1.20419E-4
1898.437500; 1.29371E-4
1904.296875; 1.20206E-4
1910.156250; 1.07764E-4
1916.015625; 1.07735E-4
1921.875000; 1.04523E-4
1927.734375; 1.08651E-4
1933.593750; 1.10138E-4
1939.453125; 1.09684E-4
1945.312500; 1.08760E-4
1951.171875; 1.04898E-4
1957.031250; 1.09492E-4
1962.890625; 1.17747E-4
1968.750000; 1.06684E-4
1974.609375; 1.14507E-4
1980.468750; 1.72656E-4
1986.328125; 4.74289E-4
1992.187500; 4.60784E-3
1998.046875; 1.61373E-2
2003.906250; 1.29147E-2
2009.765625; 1.62734E-3
2015.625000; 3.02272E-4
2021.484375; 1.48950E-4
2027.343750; 1.22362E-4
2033.203125; 1.08109E-4
2039.062500; 1.02232E-4
2044.921875; 1.06085E-4
2050.781250; 1.04878E-4
2056.640625; 1.07956E-4
2062.500000; 1.04497E-4
2068.359375; 1.08420E-4
2074.218750; 1.02563E-4
2080.078125; 1.01433E-4
2085.937500; 1.09218E-4
2091.796875; 1.08982E-4
2097.656250; 1.06772E-4
2103.515625; 1.04368E-4
2109.375000; 1.20538E-4
2115.234375; 1.11421E-4
2121.093750; 1.20066E-4
2126.953125; 1.14568E-4
2132.812500; 1.09257E-4
2138.671875; 1.11316E-4
2144.531250; 1.08232E-4
2150.390625; 1.16557E-4
2156.250000; 1.11472E-4
2162.109375; 9.77868E-5
2167.968750; 1.00045E-4
2173.828125; 1.05692E-4
2179.687500; 1.06635E-4
2185.546875; 1.15750E-4
2191.406250; 1.17240E-4
2197.265625; 1.12543E-4
2203.125000; 1.09917E-4
2208.984375; 1.05344E-4
2214.843750; 1.11138E-4
2220.703125; 1.02784E-4
2226.562500; 1.07031E-4
2232.421875; 1.17307E-4
2238.281250; 1.13895E-4
2244.140625; 1.09050E-4
2250.000000; 1.09068E-4
2255.859375; 9.96997E-5
2261.718750; 1.00849E-4
2267.578125; 1.01562E-4
2273.437500; 9.52981E-5
2279.296875; 1.00642E-4
2285.156250; 1.17432E-4
2291.015625; 1.14978E-4
2296.875000; 1.04412E-4
2302.734375; 1.09680E-4
2308.593750; 1.03389E-4
2314.453125; 9.96508E-5
2320.312500; 1.06414E-4
2326.171875; 1.01199E-4
2332.031250; 9.34451E-5
2337.890625; 1.01474E-4
2343.750000; 1.06837E-4
2349.609375; 1.14734E-4
2355.468750; 1.08347E-4
2361.328125; 1.07000E-4
2367.187500; 1.09498E-4
2373.046875; 1.09990E-4
2378.906250; 1.06033E-4
2384.765625; 1.00318E-4
2390.625000; 9.49610E-5
2396.484375; 1.08913E-4
2402.343750; 1.01345E-4
2408.203125; 1.03502E-4
2414.062500; 1.03129E-4
2419.921875; 1.04665E-4
2425.781250; 1.10132E-4
2431.640625; 1.02160E-4
2437.500000; 1.04842E-4
2443.359375; 1.10138E-4
2449.218750; 1.02554E-4
2455.078125; 9.39835E-5
2460.937500; 9.99697E-5
2466.796875; 1.01878E-4
2472.656250; 1.08229E-4
2478.515625; 1.20898E-4
2484.375000; 1.13454E-4
2490.234375; 1.05430E-4
2496.093750; 9.89588E-5
2501.953125; 1.10296E-4
2507.812500; 1.08797E-4
2513.671875; 1.07233E-4
2519.531250; 1.09544E-4
2525.390625; 1.10359E-4
2531.250000; 1.06582E-4
2537.109375; 9.69548E-5
2542.968750; 9.29076E-5
2548.828125; 1.02889E-4
2554.687500; 1.23518E-4
2560.546875; 1.18400E-4
2566.406250; 1.11681E-4
2572.265625; 1.10659E-4
