* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 1:01:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA ANODE-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 1.333 V 1.333 VC, 1.333 VA 1.333 V 22 - 22k UNW 863.1 uV >22k Distortion at 1,000.0 Hz, -37.51 dBFS: Gain: 29.34 dB THD: 0.035 % based on 21 harmonics  [0..22800 Hz] HHD: 0.027 %  [10 .. 22] N: 0.93 %  [0..22800 Hz] N+D: 4.158 mV A THD+N: 0.93 %  [0..22800 Hz] SNR: 40.6 dB ENOB: 13.2 bits 2nd harmonic 0.0078 % -51 deg 3rd harmonic 0.0082 % 168 deg 4th harmonic 0.0079 % 48 deg 5th harmonic 0.0076 % -43 deg 6th harmonic 0.0080 % -53 deg 7th harmonic 0.0077 % 106 deg 8th harmonic 0.0076 % -72 deg 9th harmonic 0.0078 % -156 deg 
* Measurement: OSDEHA A-OUT 1.33V
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
1705.078125; 1.02732E-4
1710.937500; 1.02136E-4
1716.796875; 1.16998E-4
1722.656250; 1.07867E-4
1728.515625; 9.70528E-5
1734.375000; 1.00985E-4
1740.234375; 1.08398E-4
1746.093750; 1.05561E-4
1751.953125; 1.04550E-4
1757.812500; 9.76563E-5
1763.671875; 1.07021E-4
1769.531250; 1.10519E-4
1775.390625; 1.21689E-4
1781.250000; 9.44453E-5
1787.109375; 1.00665E-4
1792.968750; 1.10968E-4
1798.828125; 1.18896E-4
1804.687500; 1.18148E-4
1810.546875; 1.11439E-4
1816.406250; 9.83952E-5
1822.265625; 1.04200E-4
1828.125000; 1.05444E-4
1833.984375; 1.01249E-4
1839.843750; 9.38605E-5
1845.703125; 1.07149E-4
1851.562500; 1.04014E-4
1857.421875; 9.21548E-5
1863.281250; 1.10841E-4
1869.140625; 1.12699E-4
1875.000000; 1.19300E-4
1880.859375; 1.09006E-4
1886.718750; 9.06790E-5
1892.578125; 1.03055E-4
1898.437500; 1.11984E-4
1904.296875; 1.10968E-4
1910.156250; 1.15882E-4
1916.015625; 1.14553E-4
1921.875000; 1.03914E-4
1927.734375; 9.93036E-5
1933.593750; 1.07377E-4
1939.453125; 1.02860E-4
1945.312500; 9.70459E-5
1951.171875; 9.50995E-5
1957.031250; 1.09402E-4
1962.890625; 1.13606E-4
1968.750000; 1.17296E-4
1974.609375; 1.00377E-4
1980.468750; 9.68195E-5
1986.328125; 9.84456E-5
1992.187500; 9.69773E-5
1998.046875; 1.03611E-4
2003.906250; 1.18227E-4
2009.765625; 1.09377E-4
2015.625000; 1.05037E-4
2021.484375; 9.61902E-5
2027.343750; 1.00628E-4
2033.203125; 1.20206E-4
2039.062500; 1.21566E-4
2044.921875; 1.09622E-4
2050.781250; 1.11335E-4
2056.640625; 1.09154E-4
2062.500000; 9.42379E-5
2068.359375; 1.03868E-4
2074.218750; 1.07302E-4
2080.078125; 9.83175E-5
2085.937500; 1.05345E-4
2091.796875; 9.21674E-5
2097.656250; 1.00898E-4
2103.515625; 1.10404E-4
2109.375000; 1.08858E-4
2115.234375; 9.32832E-5
2121.093750; 9.73666E-5
2126.953125; 1.08034E-4
2132.812500; 1.18002E-4
2138.671875; 1.24184E-4
2144.531250; 1.16407E-4
2150.390625; 1.06064E-4
2156.250000; 1.03223E-4
2162.109375; 8.83028E-5
2167.968750; 9.20500E-5
2173.828125; 9.95933E-5
2179.687500; 9.81143E-5
2185.546875; 1.09631E-4
2191.406250; 1.17515E-4
2197.265625; 1.22672E-4
2203.125000; 1.18449E-4
2208.984375; 1.08770E-4
2214.843750; 1.18745E-4
2220.703125; 1.23420E-4
2226.562500; 1.14711E-4
2232.421875; 1.04969E-4
2238.281250; 1.10668E-4
2244.140625; 1.01164E-4
2250.000000; 1.10785E-4
2255.859375; 1.06699E-4
2261.718750; 1.02148E-4
2267.578125; 1.04672E-4
2273.437500; 1.04991E-4
2279.296875; 9.92392E-5
2285.156250; 1.07728E-4
2291.015625; 1.07715E-4
2296.875000; 9.51871E-5
2302.734375; 9.92501E-5
2308.593750; 9.27227E-5
2314.453125; 9.68584E-5
2320.312500; 1.10089E-4
2326.171875; 1.09428E-4
2332.031250; 1.03676E-4
2337.890625; 1.04087E-4
2343.750000; 1.00572E-4
2349.609375; 1.08265E-4
2355.468750; 1.26080E-4
2361.328125; 1.19866E-4
2367.187500; 1.02449E-4
2373.046875; 1.00558E-4
2378.906250; 1.19384E-4
2384.765625; 1.06088E-4
2390.625000; 1.01293E-4
2396.484375; 1.07975E-4
2402.343750; 1.10711E-4
2408.203125; 1.05173E-4
2414.062500; 1.12620E-4
2419.921875; 1.07559E-4
2425.781250; 1.09742E-4
2431.640625; 1.07295E-4
2437.500000; 1.09216E-4
2443.359375; 1.13657E-4
2449.218750; 9.66669E-5
2455.078125; 1.02991E-4
2460.937500; 1.06523E-4
2466.796875; 9.94124E-5
2472.656250; 1.08735E-4
2478.515625; 1.02069E-4
2484.375000; 1.00902E-4
2490.234375; 1.00696E-4
2496.093750; 9.87626E-5
2501.953125; 1.11424E-4
2507.812500; 1.09020E-4
2513.671875; 1.00011E-4
2519.531250; 1.11256E-4
2525.390625; 9.52084E-5
2531.250000; 9.25295E-5
2537.109375; 1.04311E-4
2542.968750; 9.84274E-5
2548.828125; 9.55848E-5
2554.687500; 9.49089E-5
2560.546875; 1.09298E-4
2566.406250; 1.04134E-4
2572.265625; 1.09479E-4
2578.125000; 1.13470E-4
2583.984375; 1.01239E-4
2589.843750; 1.03425E-4
2595.703125; 1.09529E-4
2601.562500; 1.05890E-4
2607.421875; 9.91913E-5
2613.281250; 1.16186E-4
2619.140625; 1.14658E-4
2625.000000; 1.07175E-4
2630.859375; 1.03883E-4
2636.718750; 1.06855E-4
2642.578125; 1.08562E-4
2648.437500; 1.05578E-4
2654.296875; 1.17186E-4
2660.156250; 1.18668E-4
2666.015625; 1.18501E-4
2671.875000; 1.05706E-4
2677.734375; 1.07822E-4
2683.593750; 9.45669E-5
2689.453125; 8.89083E-5
2695.312500; 1.01400E-4
2701.171875; 9.95615E-5
2707.031250; 1.09819E-4
2712.890625; 1.19490E-4
2718.750000; 1.04166E-4
2724.609375; 9.87273E-5
2730.468750; 1.02123E-4
2736.328125; 1.01949E-4
2742.187500; 9.67324E-5
2748.046875; 1.02687E-4
2753.906250; 1.08337E-4
2759.765625; 1.01682E-4
2765.625000; 1.13353E-4
2771.484375; 1.10985E-4
2777.343750; 9.69697E-5
2783.203125; 1.02239E-4
2789.062500; 1.11674E-4
2794.921875; 1.02582E-4
2800.781250; 9.19355E-5
2806.640625; 8.50958E-5
2812.500000; 9.69496E-5
2818.359375; 1.06285E-4
2824.218750; 1.03524E-4
2830.078125; 1.00316E-4
2835.937500; 9.75686E-5
2841.796875; 1.02310E-4
2847.656250; 9.76710E-5
2853.515625; 8.52587E-5
2859.375000; 9.97593E-5
2865.234375; 9.92210E-5
2871.093750; 1.11652E-4
2876.953125; 1.12412E-4
2882.812500; 1.04004E-4
2888.671875; 1.01993E-4
2894.531250; 1.03584E-4
2900.390625; 1.09248E-4
2906.250000; 9.76645E-5
2912.109375; 9.02897E-5
2917.968750; 1.07331E-4
2923.828125; 1.02535E-4
2929.687500; 1.02959E-4
2935.546875; 9.67102E-5
2941.406250; 1.04322E-4
2947.265625; 1.03078E-4
2953.125000; 1.15380E-4
2958.984375; 1.06568E-4
2964.843750; 1.07417E-4
2970.703125; 1.08281E-4
2976.562500; 1.01437E-4
2982.421875; 1.05630E-4
2988.281250; 1.14470E-4
2994.140625; 1.09884E-4
3000.000000; 1.07210E-4
3005.859375; 1.07880E-4
3011.718750; 1.09182E-4
3017.578125; 1.11404E-4
3023.437500; 1.05981E-4
3029.296875; 1.02366E-4
3035.156250; 9.54348E-5
3041.015625; 1.02565E-4
3046.875000; 1.10744E-4
3052.734375; 1.10760E-4
3058.593750; 9.90704E-5
3064.453125; 9.17267E-5
3070.312500; 1.05080E-4
3076.171875; 1.02093E-4
3082.031250; 1.04322E-4
3087.890625; 1.01987E-4
3093.750000; 9.96034E-5
3099.609375; 9.40337E-5
3105.468750; 1.00561E-4
3111.328125; 1.01459E-4
3117.187500; 9.06204E-5
3123.046875; 1.01190E-4
3128.906250; 1.06014E-4
3134.765625; 9.70916E-5
3140.625000; 1.04621E-4
3146.484375; 1.21386E-4
3152.343750; 1.22296E-4
3158.203125; 1.05827E-4
3164.062500; 9.36283E-5
3169.921875; 1.06775E-4
3175.781250; 1.08750E-4
3181.640625; 9.97714E-5
3187.500000; 1.08303E-4
3193.359375; 1.05354E-4
3199.218750; 9.66610E-5
3205.078125; 9.70009E-5
3210.937500; 8.68033E-5
3216.796875; 8.97470E-5
3222.656250; 9.41572E-5
3228.515625; 1.01667E-4
3234.375000; 1.14241E-4
3240.234375; 1.12153E-4
3246.093750; 1.05670E-4
3251.953125; 1.03907E-4
3257.812500; 1.08214E-4
3263.671875; 1.05867E-4
3269.531250; 1.08569E-4
3275.390625; 1.04299E-4
3281.250000; 1.03104E-4
3287.109375; 1.07183E-4
3292.968750; 1.03301E-4
3298.828125; 1.02539E-4
3304.687500; 1.00206E-4
3310.546875; 9.77686E-5
3316.406250; 9.44684E-5
3322.265625; 1.02906E-4
3328.125000; 9.73164E-5
3333.984375; 9.55220E-5
3339.843750; 1.04145E-4
3345.703125; 1.05409E-4
3351.562500; 1.05948E-4
3357.421875; 1.05743E-4
3363.281250; 9.89348E-5
3369.140625; 9.94153E-5
3375.000000; 1.05361E-4
3380.859375; 9.81525E-5
3386.718750; 9.95055E-5
3392.578125; 1.05299E-4
3398.437500; 1.17778E-4
3404.296875; 1.04036E-4
3410.156250; 1.01491E-4
3416.015625; 1.03764E-4
3421.875000; 1.05350E-4
3427.734375; 1.02163E-4
3433.593750; 1.06219E-4
3439.453125; 1.01624E-4
3445.312500; 1.05493E-4
3451.171875; 1.02518E-4
3457.031250; 9.63672E-5
3462.890625; 1.00853E-4
3468.750000; 1.01005E-4
3474.609375; 9.30014E-5
3480.468750; 9.29029E-5
3486.328125; 1.05454E-4
3492.187500; 1.19035E-4
3498.046875; 1.04310E-4
3503.906250; 1.07724E-4
3509.765625; 1.28866E-4
3515.625000; 1.34859E-4
3521.484375; 1.33573E-4
3527.343750; 1.21549E-4
3533.203125; 1.21197E-4
3539.062500; 1.14118E-4
3544.921875; 9.53691E-5
3550.781250; 1.03841E-4
3556.640625; 1.01783E-4
3562.500000; 1.04656E-4
3568.359375; 1.17235E-4
3574.218750; 1.14328E-4
3580.078125; 9.89467E-5
3585.937500; 1.06884E-4
3591.796875; 1.04323E-4
3597.656250; 9.76835E-5
3603.515625; 1.02038E-4
3609.375000; 1.11996E-4
3615.234375; 1.13281E-4
3621.093750; 9.74807E-5
3626.953125; 8.84985E-5
3632.812500; 1.03838E-4
3638.671875; 1.06769E-4
3644.531250; 1.15145E-4
3650.390625; 1.06730E-4
3656.250000; 1.01204E-4
3662.109375; 1.09096E-4
3667.968750; 1.00256E-4
3673.828125; 1.09072E-4
3679.687500; 1.20915E-4
3685.546875; 1.00680E-4
3691.406250; 9.57408E-5
3697.265625; 1.03064E-4
3703.125000; 1.10947E-4
3708.984375; 1.07549E-4
3714.843750; 1.04426E-4
3720.703125; 1.07834E-4
3726.562500; 1.12929E-4
3732.421875; 1.08509E-4
3738.281250; 9.68701E-5
3744.140625; 9.79273E-5
3750.000000; 1.01664E-4
3755.859375; 1.06963E-4
3761.718750; 1.11285E-4
3767.578125; 1.02364E-4
3773.437500; 9.60983E-5
3779.296875; 9.53006E-5
3785.156250; 9.63066E-5
3791.015625; 1.06867E-4
3796.875000; 1.20580E-4
3802.734375; 1.18504E-4
3808.593750; 1.03114E-4
3814.453125; 1.19472E-4
3820.312500; 1.13223E-4
3826.171875; 1.02713E-4
3832.031250; 1.09781E-4
3837.890625; 1.16024E-4
3843.750000; 1.09448E-4
3849.609375; 1.11429E-4
3855.468750; 1.07333E-4
3861.328125; 1.08696E-4
3867.187500; 1.12052E-4
3873.046875; 1.00825E-4
3878.906250; 9.58092E-5
3884.765625; 1.06625E-4
3890.625000; 1.07752E-4
3896.484375; 9.84648E-5
3902.343750; 1.02320E-4
3908.203125; 1.01902E-4
3914.062500; 9.12383E-5
3919.921875; 9.58164E-5
3925.781250; 9.51590E-5
3931.640625; 1.02584E-4
3937.500000; 1.06074E-4
3943.359375; 1.03587E-4
3949.218750; 9.44351E-5
3955.078125; 1.01716E-4
3960.937500; 9.96389E-5
3966.796875; 9.35791E-5
3972.656250; 1.00140E-4
3978.515625; 1.01970E-4
3984.375000; 1.03024E-4
3990.234375; 1.07871E-4
3996.093750; 1.10113E-4
4001.953125; 1.14461E-4
4007.812500; 9.99463E-5
4013.671875; 9.83321E-5
4019.531250; 9.36172E-5
4025.390625; 8.90577E-5
4031.250000; 1.01477E-4
4037.109375; 9.57844E-5
4042.968750; 9.86398E-5
4048.828125; 9.25026E-5
4054.687500; 9.59102E-5
4060.546875; 1.13748E-4
4066.406250; 1.18127E-4
4072.265625; 1.13197E-4
4078.125000; 1.16269E-4
4083.984375; 1.02970E-4
4089.843750; 9.81622E-5
4095.703125; 1.01677E-4
4101.562500; 1.06104E-4
4107.421875; 1.03191E-4
4113.281250; 9.88183E-5
4119.140625; 9.84853E-5
4125.000000; 9.96217E-5
4130.859375; 9.30132E-5
4136.718750; 1.00523E-4
4142.578125; 9.73127E-5
4148.437500; 1.02119E-4
4154.296875; 1.09821E-4
4160.156250; 1.00943E-4
4166.015625; 9.57575E-5
4171.875000; 9.48014E-5
4177.734375; 1.01619E-4
4183.593750; 1.00757E-4
4189.453125; 9.63287E-5
4195.312500; 9.83628E-5
4201.171875; 1.00628E-4
4207.031250; 1.01114E-4
4212.890625; 1.05734E-4
4218.750000; 9.43627E-5
4224.609375; 1.08132E-4
4230.468750; 1.17692E-4
4236.328125; 1.09996E-4
4242.187500; 1.00275E-4
4248.046875; 9.77778E-5
4253.906250; 1.06076E-4
4259.765625; 1.12781E-4
4265.625000; 1.11042E-4
4271.484375; 1.02755E-4
4277.343750; 1.05086E-4
4283.203125; 1.05162E-4
4289.062500; 1.03900E-4
4294.921875; 1.01221E-4
4300.781250; 9.27476E-5
4306.640625; 1.00393E-4
4312.500000; 1.05472E-4
4318.359375; 8.84399E-5
4324.218750; 8.72951E-5
4330.078125; 9.60337E-5
4335.937500; 1.01177E-4
4341.796875; 9.81770E-5
4347.656250; 1.03062E-4
4353.515625; 1.16779E-4
4359.375000; 1.13012E-4
4365.234375; 1.03554E-4
4371.093750; 1.03025E-4
4376.953125; 9.80672E-5
4382.812500; 9.54971E-5
4388.671875; 9.22074E-5
4394.531250; 1.01809E-4
4400.390625; 1.13355E-4
4406.250000; 1.06249E-4
4412.109375; 1.00823E-4
4417.968750; 1.00073E-4
4423.828125; 9.81849E-5
4429.687500; 1.08726E-4
4435.546875; 1.08893E-4
4441.406250; 1.01735E-4
4447.265625; 1.08960E-4
4453.125000; 1.14903E-4
4458.984375; 1.06004E-4
4464.843750; 1.12267E-4
4470.703125; 1.07538E-4
4476.562500; 1.09399E-4
4482.421875; 1.04114E-4
4488.281250; 1.05733E-4
4494.140625; 1.08656E-4
4500.000000; 1.10781E-4
4505.859375; 1.02576E-4
4511.718750; 1.06454E-4
4517.578125; 1.09481E-4
4523.437500; 1.15197E-4
4529.296875; 9.94435E-5
4535.156250; 1.09975E-4
4541.015625; 1.10675E-4
4546.875000; 1.12678E-4
4552.734375; 1.12943E-4
4558.593750; 1.13140E-4
4564.453125; 1.03781E-4
4570.312500; 1.11704E-4
4576.171875; 1.07790E-4
4582.031250; 9.03470E-5
4587.890625; 9.02040E-5
4593.750000; 9.65617E-5
4599.609375; 9.28776E-5
4605.468750; 9.85200E-5
4611.328125; 1.02940E-4
4617.187500; 1.05064E-4
4623.046875; 1.01374E-4
4628.906250; 9.30595E-5
4634.765625; 1.01219E-4
4640.625000; 1.01146E-4
4646.484375; 9.32451E-5
4652.343750; 9.99478E-5
4658.203125; 1.12377E-4
4664.062500; 1.13600E-4
4669.921875; 1.09368E-4
4675.781250; 1.02259E-4
4681.640625; 9.63456E-5
4687.500000; 9.99424E-5
4693.359375; 1.06044E-4
4699.218750; 1.04829E-4
4705.078125; 9.67793E-5
4710.937500; 9.10545E-5
4716.796875; 1.03706E-4
4722.656250; 1.04354E-4
4728.515625; 1.01760E-4
4734.375000; 9.28347E-5
4740.234375; 1.05071E-4
4746.093750; 1.03734E-4
4751.953125; 1.08542E-4
4757.812500; 1.03764E-4
4763.671875; 1.12465E-4
4769.531250; 1.02011E-4
4775.390625; 9.89482E-5
4781.250000; 1.13350E-4
4787.109375; 1.09918E-4
